순위,업소명,주소,분류
1,동화가든본점,강원 강릉시 초당순두부길77번길 15-0,한식
2,청초수물회속초본점,강원 속초시 엑스포로 12-36,전문음식
3,바다정원,강원 고성군 버리깨길 23-0,카페/찻집
4,통나무집닭갈비본점,강원 춘천시 신샘밭로 763-0,전문음식
5,강릉커피거리,강원 강릉시 창해로14번길 0-0,음식점기타
6,만석닭강정본점,강원 속초시 청초호반로 72-0,간이음식
7,테라로사커피공장강릉본점,강원 강릉시 현천길 7-0,카페/찻집
8,카페툇마루,강원 강릉시 난설헌로 232-0,카페/찻집
9,봉포머구리집속초본점,강원 속초시 영랑해안길 223-0,전문음식
10,양지말화로구이,강원 홍천군 양지말길 17-4,한식
11,카페감자밭,강원 춘천시 신샘밭로 674-0,카페/찻집
12,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,한식
13,속초항아리물회,강원 속초시 해오름로188번길 11-0,전문음식
14,백촌막국수,강원 고성군 백촌1길 10-0,한식
15,감나무식당,강원 양양군 안산1길 73-6,한식
16,갤러리밥스,강원 강릉시 난설헌로 144-0,카페/찻집
17,88생선구이,강원 속초시 중앙부두길 71-0,한식
18,소울로스터리커피,강원 춘천시 소양강로 538-0,카페/찻집
19,스타벅스춘천구봉산R점,강원 춘천시 순환대로 1154-63,카페/찻집
20,산토리니,강원 춘천시 순환대로 1154-97,카페/찻집
21,토담숯불닭갈비,강원 춘천시 신샘밭로 662-0,전문음식
22,곳,강원 강릉시 진리해변길 143-0,카페/찻집
23,모녀가리비,강원 속초시 대포항희망길 53-0,전문음식
24,스톤크릭,강원 원주시 지정로 1101-0,카페/찻집
25,스타벅스속초DT점,강원 속초시 동해대로 4114-0,카페/찻집
26,김영애할머니순두부본점,강원 속초시 원암학사평길 183-0,한식
27,학곡리막국수닭갈비,강원 춘천시 공지로 29-0,전문음식
28,인필드,강원 춘천시 가락재로 40-0,카페/찻집
29,황태회관,강원 평창군 눈마을길 19-0,한식
30,테라로사경포호수점,강원 강릉시 난설헌로 145-0,카페/찻집
31,대청마루[한식],강원 속초시 관광로 430-0,한식
32,장안횟집,강원 강릉시 진리항구길 51-0,전문음식
33,아바이회국수,강원 속초시 청호로 115-12,전문음식
34,해성집,강원 강릉시 금성로 21-0,전문음식
35,스타벅스강릉강문해변점,강원 강릉시 창해로350번길 3-0,카페/찻집
36,카페긷,강원 속초시 원암학사평길 60-0,카페/찻집
37,이모네식당,강원 속초시 영랑해안6길 16-0,한식
38,까치둥지,강원 원주시 치악로 1731-0,한식
39,차현희순두부청국장본점,강원 강릉시 초당순두부길 98-0,한식
40,보사노바커피로스터스속초점,강원 속초시 해오름로 161-0,카페/찻집
41,초당두부마을,강원 강릉시,음식점기타
42,홍천사랑말한우홍천점,강원 홍천군 홍천로 13-5,한식
43,칠성조선소,강원 속초시 중앙로46번길 45-0,카페/찻집
44,탑골가든본점,강원 춘천시 김유정로 427-12,전문음식
45,P.E.I coffee,강원 양양군 동해대로 3539-0,카페/찻집
46,테라로사사천점,강원 강릉시 순포안길 6-0,카페/찻집
47,평창한우마을대관령점,강원 평창군 경강로 5195-25,한식
48,고향집,강원 인제군 조침령로 115-0,한식
49,맥도날드춘천퇴계DT점,강원 춘천시 영서로 2173-0,간이음식
50,바다뷰제빵소,강원 양양군 동해대로 3296-0,간이음식
51,단천식당,강원 속초시 아바이마을길 17-0,한식
52,엔드투앤드,강원 강릉시 창해로 245-0,카페/찻집
53,맥도날드속초DT점,강원 속초시 동해대로 4118-0,간이음식
54,송정희어머니순두부,강원 속초시 원암학사평길 192-0,한식
55,영광정메밀국수,강원 양양군 진미로 446-0,한식
56,리버레인,강원 춘천시 영서로 2529-47,카페/찻집
57,금수강산막국수,강원 홍천군 한치골길 785-0,한식
58,9남매두부집,강원 강릉시 초당원길 63-2,한식
59,더엠브로시아소노펠리체델피노,강원 고성군 미시령옛길 1153-0,카페/찻집
60,권할머니한우시래기해장국,강원 춘천시 종자리로 268-0,한식
61,춘천닭갈비골목,강원 춘천시 금강로62번길 7-0,음식점기타
62,뚜레한우홍천본점,강원 홍천군 한계길 110-0,한식
63,대원당,강원 춘천시 퇴계로 191-0,간이음식
64,물치항회센터,강원 양양군 동해대로 3584-0,전문음식
65,우성닭갈비본점,강원 춘천시 만천양지길 87-0,전문음식
66,강릉동화가든짬뽕순두부속초점,강원 속초시 관광로 433-0,한식
67,삼척항활어회센터,강원 삼척시 정라항길 8-0,전문음식
68,바람꽃해녀마을속초본점,강원 속초시 바람꽃마을길 37-0,전문음식
69,346커피스토리,강원 강릉시 창해로 346-0,카페/찻집
70,가보오토종닭[중식],강원 속초시 학사평길 32-0,외국식
71,시드누아속초점,강원 속초시 바람꽃마을1길 38-0,카페/찻집
72,남경막국수대포항본점,강원 속초시 대포항희망길 47-0,한식
73,철원막국수,강원 철원군 명성로158번길 13-0,한식
74,수가성순두부,강원 원주시 남원로612번길 1-0,한식
75,원조강릉교동반점본점 [중식],강원 강릉시 강릉대로 205-0,외국식
76,카페소돌엔,강원 강릉시 해안로 1987-0,카페/찻집
77,어나더블루,강원 속초시 장사항해안길 61-0,카페/찻집
78,금이야옥이야,강원 속초시 새마을길 53-0,한식
79,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페/찻집
80,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식
81,순두부젤라또3호점,강원 강릉시 해안로 1603-0,카페/찻집
82,쿠우쿠우원주무실점,강원 원주시 능라동길 61-0,전문음식
83,실로암메밀국수,강원 양양군 장산3길 17-0,한식
84,1.5닭갈비본점,강원 춘천시 후만로 77-0,전문음식
85,횡성축협한우프라자본점,강원 횡성군 횡성로 337-0,한식
86,보헤미안로스터즈박이추커피공장,강원 강릉시 해안로 1107-0,카페/찻집
87,스타벅스강릉율곡DT점,강원 강릉시 율곡로 2996-0,카페/찻집
88,이모네생선찜,강원 강릉시 가작로 8-0,한식
89,완도회식당,강원 속초시 먹거리4길 21-0,전문음식
90,몽토랑,강원 태백시 효자1길 27-2,카페/찻집
91,보릿고개본점 [한식],강원 원주시 혁신로 19-0,한식
92,평창한우마을면온점,강원 평창군 진조길 57-0,한식
93,사돈집,강원 속초시 영랑해안1길 8-0,한식
94,순두부젤라또2호점,강원 강릉시 경강로 2642-0,카페/찻집
95,춘천산속에닭갈비,강원 춘천시 옛경춘로 562-20,전문음식
96,스타벅스속초금호DT점,강원 속초시 미시령로 3426-0,카페/찻집
97,38마일,강원 춘천시 종자리로 42-0,카페/찻집
98,강릉김밥,강원 강릉시 용지로 121-0,간이음식
99,고선생화덕생선구이,강원 강릉시 해안로 286-0,한식
100,감자적1번지,강원 강릉시 공항길29번길 7-0,한식
